inputLeft outputLeft inputRight outputRight
1244 17921 1200 17921 
1244 17921 1200 17921 
1245 18049 1202 18049 
1245 18049 1202 18049 
1245 18177 1202 18177 
1245 18177 1202 18177 
1245 18305 1203 18305 
1245 18305 1203 18305 
1246 18433 1205 18433 
1246 18433 1205 18433 
1247 18561 1210 18561 
1247 18561 1210 18561 
1247 18689 1210 18689 
1247 18689 1210 18689 
1248 18817 1209 18817 
1248 18817 1209 18817 
1249 18945 1210 18945 
1249 18945 1210 18945 
1251 19073 1210 19073 
1251 19073 1210 19073 
1252 19201 1211 19201 
1252 19201 1211 19201 
1253 19329 1215 19329 
1253 19329 1215 19329 
1253 19457 1218 19457 
1253 19457 1218 19457 
1254 19585 1220 19585 
1254 19585 1220 19585 
1254 19713 1223 19713 
1254 19713 1223 19713 
1257 19841 1222 19841 
1257 19841 1222 19841 
1257 19969 1224 19969 
1257 19969 1224 19969 
1259 20097 1225 20097 
1259 20097 1225 20097 
1259 20225 1227 20225 
1259 20225 1227 20225 
1262 20353 1230 20353 
1262 20353 1230 20353 
1262 20481 1231 20481 
1262 20481 1231 20481 
1263 20609 1231 20609 
1263 20609 1231 20609 
1264 20737 1231 20737 
1264 20737 1231 20737 
1264 20865 1234 20865 
1264 20865 1234 20865 
1266 20993 1235 20993 
1266 20993 1235 20993 
1267 21121 1238 21121 
1267 21121 1238 21121 
1267 21249 1238 21249 
1267 21249 1238 21249 
1268 21377 1240 21377 
1268 21377 1240 21377 
1270 21505 1241 21505 
1270 21505 1241 21505 
1270 21633 1243 21633 
1270 21633 1243 21633 
1270 21761 1243 21761 
1270 21761 1243 21761 
1272 21889 1243 21889 
1272 21889 1243 21889 
1272 22017 1245 22017 
1272 22017 1245 22017 
1274 22145 1244 22145 
1274 22145 1244 22145 
1273 22273 1247 22273 
1273 22273 1247 22273 
1276 22401 1249 22401 
1276 22401 1249 22401 
1279 22529 1251 22529 
1279 22529 1251 22529 
1280 22657 1249 22657 
1280 22657 1249 22657 
1281 22785 1251 22785 
1281 22785 1251 22785 
1279 22913 1252 22913 
1279 22913 1252 22913 
1280 23041 1253 23041 
1280 23041 1253 23041 
1282 23169 1254 23169 
1282 23169 1254 23169 
1281 23297 1255 23297 
1281 23297 1255 23297 
1281 23425 1257 23425 
1281 23425 1257 23425 
1283 23553 1257 23553 
1283 23553 1257 23553 
1282 23681 1257 23681 
1282 23681 1257 23681 
1283 23809 1258 23809 
1283 23809 1258 23809 
1284 23937 1259 23937 
1284 23937 1259 23937 
1284 24065 1259 24065 
1284 24065 1259 24065 
1286 24193 1259 24193 
1286 24193 1259 24193 
1287 24321 1261 24321 
1287 24321 1261 24321 
1285 24449 1260 24449 
1285 24449 1260 24449 
1287 24577 1261 24577 
1287 24577 1261 24577 
1285 24705 1262 24705 
1285 24705 1262 24705 
1285 24833 1264 24833 
1285 24833 1264 24833 
1286 24961 1264 24961 
1286 24961 1264 24961 
1287 25089 1265 25089 
1287 25089 1265 25089 
1288 25217 1265 25217 
1288 25217 1265 25217 
1288 25345 1268 25345 
1288 25345 1268 25345 
1288 25473 1267 25473 
1288 25473 1267 25473 
1288 25601 1270 25601 
1288 25601 1270 25601 
1289 25729 1270 25729 
1289 25729 1270 25729 
1289 25857 1270 25857 
1289 25857 1270 25857 
1289 25985 1270 25985 
1289 25985 1270 25985 
1289 26113 1271 26113 
1289 26113 1271 26113 
1291 26241 1271 26241 
1291 26241 1271 26241 
1291 26369 1273 26369 
1291 26369 1273 26369 
1291 26497 1274 26497 
1291 26497 1274 26497 
1291 26625 1275 26625 
1291 26625 1275 26625 
1290 26753 1275 26753 
1290 26753 1275 26753 
1293 26881 1274 26881 
1293 26881 1274 26881 
1294 27009 1276 27009 
1294 27009 1276 27009 
1295 27137 1276 27137 
1295 27137 1276 27137 
1295 27265 1279 27265 
1295 27265 1279 27265 
1297 27393 1278 27393 
1297 27393 1278 27393 
1299 27521 1279 27521 
1299 27521 1279 27521 
1296 27649 1279 27649 
1296 27649 1279 27649 
1297 27777 1281 27777 
1297 27777 1281 27777 
1299 27905 1281 27905 
1299 27905 1281 27905 
1299 28033 1283 28033 
1299 28033 1283 28033 
1300 28161 1284 28161 
1300 28161 1284 28161 
1299 28289 1285 28289 
1299 28289 1285 28289 
1303 28417 1285 28417 
1303 28417 1285 28417 
1299 28545 1286 28545 
1299 28545 1286 28545 
1301 28673 1286 28673 
1301 28673 1286 28673 
1304 28801 1286 28801 
1304 28801 1286 28801 
1301 28929 1287 28929 
1301 28929 1287 28929 
1299 29057 1288 29057 
1299 29057 1288 29057 
1299 29185 1289 29185 
